File Name,Job Description,label
333371901_947265376283086_3150372238309818162_n.jpg,"Lowongan Kerja Siloam Hospitals
Lippo Village Tangerang Banten
- Apoteker

- Perawat Gigi

Cek persyaratan dan cara melamar di www.lokerkesehatan.id

+) Hanya lowongan valid dan terbaru yang akan dibagikan di sini

Wd & @lokerkesehatandotid

",Non-bias
334861377_1174886006525960_9061974495107744371_n.jpg,"Dibutuhkan!

TENAGA TEKNIS KEFARMASIAN

Persyaratan:

¢ Min. Lulus D3/S1 farmasi

¢ STRTTK Aktif

¢ Bisa mengoprasikan komputer

¢ Fresh graduate / Yang
berpengalaman

¢ Di utamakan domisili DEPOK /
PABUARAN BOGOR sekitarnya.

¢ Gaji pokok + Bonus

KIRIM CV MU :
apotekpabuaranegmail.com
",bias
333599981_732175991944846_5206062647512438690_n (5).jpg,"wi
Gayatri

microfinance

WALK IN INTERVIEW 08 MARET - 18
MARET 2023

PUKUL 11.00 - 15.00

POSITION

@ MARKETING
@ RELATIONSHIP OFFICER
Y COLLECTOR

QUALIFICATIONS

@ Pendidikan min. SMA

@ Laki-laki/perempuan usia 19 - 30 tahun

@ Memiliki pengalaman di bidang
keuangan min. 1 tahun

© Fresh graduate dipertimbangkan

@ Memiliki kendaraan dan SIM C

@ Memiliki kemampuan komunikasi yang
baik dan berorientasi pada target

| JOINUS | www.gayatrimicrofinance.com

Location Interview

ff Gayatri Microfinance Kantor Cabang Pare
JI, Lawu No 38 Kel. Pare Kec Pare Kab Kediri

More information
0882010114598 (Juli)
",bias
335391618_539021718363906_6466955737634477898_n.jpg,"ee

iy ’ s
Info Loker

Tanggal
15 MARET 2023 |
| RABU 4

(+) lokerspg (y] @lokerspg © @lokerspg

A
",Non-bias
333599981_732175991944846_5206062647512438690_n (24).webp,"Me is
SALES MOTORIS

Kualifikasi:

Laki-laki/perempuan

Jujur & inovatit

Mampu bekerja dalam target

Memiliki semangat yang tinggi

Paham dunia pemasaran

* FASILITAS:

* Gaji Pokok

* Uang transport

* uang makan

* Sewa kendaraan

* insentif (mencapai target )

Silahkan kirimkan Lamaran

KECAP BLIMBING
JL.TRUNOJOYO NO.86
(SEBELAH DEPOT PANDAN WANG! )
PAMEKASAN
HP. 085233435758
",bias
335396593_1225894794985632_9203485155527002815_n.jpg,"WE ARE

HIRING

Soma KITCHEN STAFF
TIME KITCHEN

STAFF

Penempatan Outlet Malang

KIRIM CV:
WA
0822-1748-9052

- LAKI LAKI MAKS 25
TAHUN

«+ MINIMAL PENDIDIKAN
SMA / SMK

« MAMPU BEKERJA
SECARA MANDIRI
MAUPUN DALAM TIM

-« JUJUR DAN DISIPLIN

+» DOMISILI MALANG

FASILITAS :
- GAJI POKOK, MAKAN,
BONUS TARGET

",bias
334844354_1183286559034543_308005497294018326_n.jpg,"@agency_ceri
",Non-bias
333599981_732175991944846_5206062647512438690_n (55).webp,"PT. Nusantara Compnet Integrator

What's the qualification to bea Junior PSSE Staff?

e S1 graduate from IT, Electrical Engineering, Telecommunication
Engineering, or Computer Engineering

e Having good knowledge in various IT technologies (server, external
storage, various operating system and application, networking, etcetera)
is an advantage

e Having knowledge in Cisco Products

e Having IT certification is an advantage

e Having good communication skill

e Fast learner and have attention to detail

e Able to work under pressure

a) Send Your CV to

recruitment@compnet.co.id
Subject : Name_Position

lin] Recruitment Compnet @ @recruitmentcompnet
",Non-bias
336072149_1285667665656930_3611956848690827306_n (1).webp,"LOWONGAN PEKERJAAN
PT. EWF KANCA MEDAN

Kami perusahaan unit perdagangan nasional dibidang publik service
cabang medan mengundang putra dan putri indonesia yang berkualitas yang
memiliki kepribadian menarik, aktif, disiplin, dan dinamis, berkomitmen tinggi,
serta siap menerima tantangan untuk bergabung bersama kami sebagai pegawai
non kontrak (tetap) dalam lingkup kerja perusahaan, yang akan ditempatkan

untuk kantor operational medan.

PERUSAHAAN KAMI MEMBUTUHKAN SEGERA:

POSISI KUALIFIKASI
1. Staff telemarketing SMA/Sederajat-D3
2. Business Consultant SMA/Sederajat-D3
3. Management Trainee D-3/S-1
4. Call Center Representative SMA/Sederajat-S |
5. Staff Office SMA/Sederajat-D3

Registrasi Online:

Kirimkan CV melalu email hrdmanagement2021@gmail.com dengan
menuliskan subject/format sebagai berikut: Nama Lengkap Nomor Hp
Aktif_Area domisili_ Setelah mengirimkan email silahkan konfirmasi kembali ke

WA: 081260929181 (an. Raisa)
",bias
333528131_1179369132764609_2796246601756981042_n.jpg,"TopLoker..on,

e
* € a “< a

\
Perempuan - 20 sd 30 tahun - Batu

",Non-bias
